Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.032,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.05,5
Label,,
TIME,CH1,CH2
-3.200e+01,0,8.7
-3.197e+01,0,8.7
-3.194e+01,0,8.7
-3.190e+01,0.002,8.7
-3.187e+01,0,8.7
-3.184e+01,0,8.7
-3.181e+01,0,8.9
-3.178e+01,0,8.7
-3.174e+01,0,8.7
-3.171e+01,0,8.7
-3.168e+01,0,8.7
-3.165e+01,0,8.7
-3.162e+01,0,8.7
-3.158e+01,0,8.7
-3.155e+01,0,8.9
-3.152e+01,0.002,8.7
-3.149e+01,0,8.7
-3.146e+01,0,8.7
-3.142e+01,0,8.9
-3.139e+01,0,8.7
-3.136e+01,0.002,8.7
-3.133e+01,0.002,8.7
-3.130e+01,0,8.9
-3.126e+01,0,8.9
-3.123e+01,0,8.7
-3.120e+01,0,8.9
-3.117e+01,0,8.7
-3.114e+01,0,8.9
-3.110e+01,0.002,8.9
-3.107e+01,0,8.9
-3.104e+01,0,8.9
-3.101e+01,0,8.9
-3.098e+01,0,8.7
-3.094e+01,0,8.9
-3.091e+01,0.002,8.9
-3.088e+01,0.002,8.9
-3.085e+01,0,8.9
-3.082e+01,0,8.9
-3.078e+01,0,9.1
-3.075e+01,0,8.9
-3.072e+01,0.002,8.9
-3.069e+01,0.002,8.9
-3.066e+01,0.002,8.9
-3.062e+01,0,8.9
-3.059e+01,0.002,8.9
-3.056e+01,0.002,8.9
-3.053e+01,0,8.9
-3.050e+01,0,9.1
-3.046e+01,0.002,8.9
-3.043e+01,0,9.1
-3.040e+01,0,8.9
-3.037e+01,0.002,8.9
-3.034e+01,0.002,9.1
-3.030e+01,0,8.9
-3.027e+01,0,9.1
-3.024e+01,0,9.1
-3.021e+01,0.002,8.9
-3.018e+01,0,9.1
-3.014e+01,0,9.1
-3.011e+01,0.002,9.1
-3.008e+01,0,9.1
-3.005e+01,0,9.1
-3.002e+01,0,9.1
-2.998e+01,0,9.1
-2.995e+01,0,9.1
-2.992e+01,0,9.1
-2.989e+01,0,9.1
-2.986e+01,0,9.1
-2.982e+01,0,9.3
-2.979e+01,0,9.1
-2.976e+01,0,9.1
-2.973e+01,0.002,9.1
-2.970e+01,0,9.1
-2.966e+01,0,9.1
-2.963e+01,0,9.1
-2.960e+01,0.002,9.1
-2.957e+01,0,9.1
-2.954e+01,0.002,9.3
-2.950e+01,0,9.3
-2.947e+01,0,9.3
-2.944e+01,0,9.3
-2.941e+01,0,9.3
-2.938e+01,0,9.3
-2.934e+01,0,9.1
-2.931e+01,0,9.1
-2.928e+01,0,9.1
-2.925e+01,0,9.3
-2.922e+01,0,9.1
-2.918e+01,0.002,9.3
-2.915e+01,0,9.3
-2.912e+01,0,9.3
-2.909e+01,0,9.3
-2.906e+01,0,9.3
-2.902e+01,0,9.3
-2.899e+01,0,9.5
-2.896e+01,0,9.3
-2.893e+01,0,9.3
-2.890e+01,0,9.3
-2.886e+01,0,9.3
-2.883e+01,0,9.5
-2.880e+01,0,9.5
-2.877e+01,0,9.3
-2.874e+01,0,9.5
-2.870e+01,0,9.3
-2.867e+01,0,9.3
-2.864e+01,0,9.3
-2.861e+01,0,9.3
-2.858e+01,0,9.3
-2.854e+01,0.002,9.3
-2.851e+01,0,9.3
-2.848e+01,0.002,9.5
-2.845e+01,0,9.3
-2.842e+01,0.002,9.3
-2.838e+01,0,9.5
-2.835e+01,0,9.3
-2.832e+01,0,9.5
-2.829e+01,0,9.3
-2.826e+01,0,9.5
-2.822e+01,0,9.5
-2.819e+01,0,9.5
-2.816e+01,0,9.5
-2.813e+01,0.002,9.5
-2.810e+01,0,9.5
-2.806e+01,0,9.5
-2.803e+01,0,9.5
-2.800e+01,0,9.5
-2.797e+01,0,9.5
-2.794e+01,0,9.5
-2.790e+01,0,9.7
-2.787e+01,0,9.5
-2.784e+01,0.002,9.5
-2.781e+01,0,9.5
-2.778e+01,0,9.5
-2.774e+01,0,9.5
-2.771e+01,0,9.5
-2.768e+01,0,9.5
-2.765e+01,0,9.7
-2.762e+01,0,9.7
-2.758e+01,0,9.7
-2.755e+01,0,9.5
-2.752e+01,0,9.5
-2.749e+01,0,9.7
-2.746e+01,0,9.7
-2.742e+01,0,9.5
-2.739e+01,0,9.5
-2.736e+01,0,9.5
-2.733e+01,0.002,9.5
-2.730e+01,0,9.5
-2.726e+01,0,9.7
-2.723e+01,0,9.7
-2.720e+01,0,9.7
-2.717e+01,0,9.7
-2.714e+01,0.002,9.7
-2.710e+01,0.002,9.7
-2.707e+01,0,9.7
-2.704e+01,0,9.7
-2.701e+01,0.002,9.7
-2.698e+01,0,9.7
-2.694e+01,0,9.7
-2.691e+01,0,9.9
-2.688e+01,0,9.7
-2.685e+01,0,9.7
-2.682e+01,0.002,9.7
-2.678e+01,0,9.7
-2.675e+01,0,9.7
-2.672e+01,0,9.7
-2.669e+01,0,9.9
-2.666e+01,0,9.7
-2.662e+01,0,9.7
-2.659e+01,0,9.7
-2.656e+01,0,9.7
-2.653e+01,0,9.7
-2.650e+01,0,9.9
-2.646e+01,0.002,9.7
-2.643e+01,0,9.9
-2.640e+01,0,9.7
-2.637e+01,0,9.7
-2.634e+01,0.002,9.7
-2.630e+01,0,9.9
-2.627e+01,0,9.7
-2.624e+01,0,9.7
-2.621e+01,0,9.9
-2.618e+01,0,10.1
-2.614e+01,0,9.9
-2.611e+01,0,9.9
-2.608e+01,0,10.1
-2.605e+01,0,9.9
-2.602e+01,0,9.9
-2.598e+01,0,9.9
-2.595e+01,0,9.9
-2.592e+01,-0.254,9.7
-2.589e+01,-0.254,9.5
-2.586e+01,-0.254,8.9
-2.582e+01,-0.254,8.7
-2.579e+01,-0.254,8.3
-2.576e+01,-0.254,7.9
-2.573e+01,-0.254,7.5
-2.570e+01,-0.254,7.1
-2.566e+01,-0.254,6.9
-2.563e+01,-0.254,6.7
-2.560e+01,-0.254,6.1
-2.557e+01,-0.254,5.7
-2.554e+01,-0.254,5.5
-2.550e+01,-0.254,5.1
-2.547e+01,-0.254,4.7
-2.544e+01,-0.254,4.5
-2.541e+01,-0.254,3.9
-2.538e+01,-0.254,3.7
-2.534e+01,-0.254,3.3
