Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y
Horizontal Units,S
Horizontal Scale,2
Sample Interval,0.016
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
-1.600e+01,8.28
-1.598e+01,8.28
-1.597e+01,8.28
-1.595e+01,8.28
-1.594e+01,8.28
-1.592e+01,8.28
-1.590e+01,8.28
-1.589e+01,8.28
-1.587e+01,8.28
-1.586e+01,8.28
-1.584e+01,8.28
-1.582e+01,8.28
-1.581e+01,8.28
-1.579e+01,8.28
-1.578e+01,8.28
-1.576e+01,8.28
-1.574e+01,8.28
-1.573e+01,8.28
-1.571e+01,8.28
-1.570e+01,8.28
-1.568e+01,8.28
-1.566e+01,8.28
-1.565e+01,8.28
-1.563e+01,8.28
-1.562e+01,8.28
-1.560e+01,8.28
-1.558e+01,8.28
-1.557e+01,8.28
-1.555e+01,8.28
-1.554e+01,8.28
-1.552e+01,8.28
-1.550e+01,8.28
-1.549e+01,8.28
-1.547e+01,8.28
-1.546e+01,8.28
-1.544e+01,8.28
-1.542e+01,8.28
-1.541e+01,8.28
-1.539e+01,8.28
-1.538e+01,8.28
-1.536e+01,8.28
-1.534e+01,8.28
-1.533e+01,8.28
-1.531e+01,8.28
-1.530e+01,8.28
-1.528e+01,8.2
-1.526e+01,8.04
-1.525e+01,7.8
-1.523e+01,7.64
-1.522e+01,7.48
-1.520e+01,7.32
-1.518e+01,7.08
-1.517e+01,6.92
-1.515e+01,6.76
-1.514e+01,6.6
-1.512e+01,6.36
-1.510e+01,6.2
-1.509e+01,6.04
-1.507e+01,5.88
-1.506e+01,5.64
-1.504e+01,5.48
-1.502e+01,5.32
-1.501e+01,5.16
-1.499e+01,5
-1.498e+01,4.76
-1.496e+01,4.6
-1.494e+01,4.44
-1.493e+01,4.28
-1.491e+01,4.12
-1.490e+01,3.96
-1.488e+01,3.8
-1.486e+01,3.64
-1.485e+01,3.4
-1.483e+01,3.24
-1.482e+01,3
-1.480e+01,2.84
-1.478e+01,2.68
-1.477e+01,2.52
