Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,20,
Sample Interval,0.16,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,0.5
Label,,
TIME,CH1,CH2
-1.600e+02,18.4,-0.44
-1.598e+02,18.4,-0.44
-1.597e+02,18.4,-0.44
-1.595e+02,18.4,-0.42
-1.594e+02,18.6,-0.42
-1.592e+02,18.8,-0.44
-1.590e+02,18.6,-0.42
-1.589e+02,18.6,-0.42
-1.587e+02,18.6,-0.42
-1.586e+02,18.6,-0.42
-1.584e+02,18.6,-0.44
-1.582e+02,18.6,-0.42
-1.581e+02,18.6,-0.42
-1.579e+02,18.6,-0.44
-1.578e+02,18.6,-0.46
-1.576e+02,18.8,-0.44
-1.574e+02,18.8,-0.44
-1.573e+02,18.8,-0.44
-1.571e+02,18.8,-0.44
-1.570e+02,18.8,-0.44
-1.568e+02,18.8,-0.44
-1.566e+02,18.8,-0.44
-1.565e+02,18.8,-0.46
-1.563e+02,18.8,-0.44
-1.562e+02,19,-0.44
-1.560e+02,19,-0.44
-1.558e+02,19,-0.44
-1.557e+02,19,-0.44
-1.555e+02,19,-0.44
-1.554e+02,19,-0.44
-1.552e+02,19,-0.46
-1.550e+02,19,-0.44
-1.549e+02,19.2,-0.44
-1.547e+02,19,-0.44
-1.546e+02,19.2,-0.44
-1.544e+02,19,-0.44
-1.542e+02,19,-0.42
-1.541e+02,19.2,-0.44
-1.539e+02,19.2,-0.42
-1.538e+02,19.2,-0.42
-1.536e+02,19.2,-0.42
-1.534e+02,19.2,-0.44
-1.533e+02,19.2,-0.46
-1.531e+02,19.2,-0.44
-1.530e+02,19.2,-0.46
-1.528e+02,19.2,-0.46
-1.526e+02,19.4,-0.46
-1.525e+02,19.4,-0.46
-1.523e+02,19.4,-0.48
-1.522e+02,19.4,-0.46
-1.520e+02,19.4,-0.44
-1.518e+02,19.4,-0.44
-1.517e+02,19.4,-0.44
-1.515e+02,19.6,-0.44
-1.514e+02,19.6,-0.42
-1.512e+02,19.4,-0.42
-1.510e+02,19.6,-0.42
